,Unnamed: 0,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_RANGE,DAYS_EMPLOYED_RANGE,DAYS_REGISTRATION_RANGE,DAYS_ID_PUBLISH_RANGE,DAYS_LAST_PHONE_CHANGE_RANGE,AGE_RANGE_D,TARGET_D
0,0,100002,1.0,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,9.0,1,1,0,1,1,0,Laborers,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,reg oper account,block of flats,0.0149,"Stone, brick",No,2.0,2.0,2.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,4,3,2,moins de 27 ans,credit remboursé
1,1,100003,0.0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5,1129500.0,Family,State servant,Higher education,Married,House / apartment,0.0035409999999999,9.0,1,1,0,1,1,0,Core staff,2.0,1,1,MONDAY,11,0,0,0,0,0,0,School,0.3112673113812225,0.6222457752555098,0.5334816299804352,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,reg oper account,block of flats,0.0714,Block,No,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,1,2,entre 40-50 ans,credit non remboursé
2,2,100004,0.0,Revolving loans,M,Y,Y,0,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,26.0,1,1,1,1,1,0,Laborers,1.0,2,2,MONDAY,9,0,0,0,0,0,0,Government,0.5061548086628039,0.5559120833904428,0.7295666907060153,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,4,3,2,entre 50-65 ans,credit non remboursé
3,3,100006,0.0,Cash loans,F,N,Y,0,135000.0,312682.5,29686.5,297000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,9.0,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.5061548086628039,0.6504416904014653,0.5334816299804352,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,2.0,0.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,5,3,1,entre 50-65 ans,credit non remboursé
4,4,100007,0.0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,9.0,1,1,0,1,0,0,Core staff,1.0,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,0.5061548086628039,0.3227382869704046,0.5334816299804352,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,2,entre 50-65 ans,credit non remboursé
5,5,100008,0.0,Cash loans,M,N,Y,0,99000.0,490495.5,27517.5,454500.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,9.0,1,1,1,1,1,0,Laborers,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0.5061548086628039,0.3542247319929012,0.6212263380626669,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,4,1,4,entre 40-50 ans,credit non remboursé
6,6,100009,0.0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,17.0,1,1,0,1,1,0,Accountants,3.0,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,2,4,2,1,3,entre 27-40 ans,credit non remboursé
7,7,100010,0.0,Cash loans,M,Y,Y,0,360000.0,1530000.0,42075.0,1530000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.0031219999999999,8.0,1,1,1,1,0,0,Managers,2.0,3,3,MONDAY,16,0,0,0,0,1,1,Other,0.5061548086628039,0.7142792864482229,0.5406544504453575,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,2.0,0.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,4,3,2,entre 50-65 ans,credit non remboursé
8,8,100011,0.0,Cash loans,F,N,Y,0,112500.0,1019610.0,33826.5,913500.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,9.0,1,0,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,0.5873340468730377,0.2057472880073281,0.7517237147741489,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4,3,5,4,1,entre 50-65 ans,credit non remboursé
9,9,100012,0.0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,9.0,1,1,0,1,0,0,Laborers,1.0,2,2,THURSDAY,8,0,0,0,0,0,0,Electricity,0.5061548086628039,0.7466436294590924,0.5334816299804352,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,2.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,0,4,3,entre 27-40 ans,credit non remboursé
